"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. ",,,,,,,,,
The data are 12 month moving averages of monthly median wage growth for each category,,,,,,,,,
,16-24,25-54,55+,Overall,,,,,
4/1/11,4.1,1.9,0.6,1.8,,,,,
5/1/11,4.2,2.0,0.8,1.9,,,,,
6/1/11,3.8,2.0,0.9,1.9,,,,,
7/1/11,4.1,2.0,0.7,1.9,,,,,
8/1/11,3.9,2.1,0.8,2.0,,,,,
9/1/11,3.8,2.0,0.7,1.9,,,,,
10/1/11,3.8,2.1,0.8,2.0,,,,,
11/1/11,4.0,2.2,0.8,2.0,,,,,
12/1/11,3.7,2.2,0.7,2.0,,,,,
1/1/12,3.7,2.3,0.6,2.0,,,,,
2/1/12,3.7,2.3,0.6,2.0,,,,,
3/1/12,3.6,2.3,0.6,2.0,,,,,
4/1/12,3.5,2.4,0.5,2.1,,,,,
5/1/12,3.5,2.4,0.4,2.1,,,,,
6/1/12,3.8,2.4,0.5,2.1,,,,,
7/1/12,3.6,2.4,0.6,2.1,,,,,
8/1/12,3.6,2.3,0.7,2.0,,,,,
9/1/12,3.6,2.4,0.8,2.1,,,,,
10/1/12,3.5,2.4,0.8,2.1,,,,,
11/1/12,3.5,2.4,0.9,2.1,,,,,
12/1/12,3.6,2.4,1.1,2.2,,,,,
1/1/13,3.5,2.4,1.2,2.2,,,,,
2/1/13,3.5,2.4,1.2,2.2,,,,,
3/1/13,3.9,2.5,1.2,2.2,,,,,
4/1/13,3.9,2.4,1.3,2.2,,,,,
5/1/13,3.8,2.4,1.4,2.2,,,,,
6/1/13,3.6,2.4,1.3,2.2,,,,,
7/1/13,3.7,2.5,1.3,2.2,,,,,
8/1/13,3.7,2.6,1.2,2.3,,,,,
9/1/13,3.9,2.5,1.1,2.2,,,,,
10/1/13,4.2,2.5,1.2,2.3,,,,,
11/1/13,4.2,2.5,1.1,2.2,,,,,
12/1/13,4.4,2.5,1.0,2.2,,,,,
1/1/14,4.7,2.5,1.0,2.2,,,,,
2/1/14,4.9,2.5,1.1,2.3,,,,,
3/1/14,4.4,2.5,1.1,2.3,,,,,
4/1/14,4.4,2.5,1.1,2.3,,,,,
5/1/14,4.7,2.5,1.0,2.3,,,,,
6/1/14,4.9,2.6,1.0,2.3,,,,,
7/1/14,5.1,2.6,0.9,2.3,,,,,
8/1/14,5.2,2.5,1.0,2.3,,,,,
9/1/14,5.4,2.6,1.1,2.4,,,,,
10/1/14,5.4,2.7,1.1,2.5,,,,,
11/1/14,5.6,2.8,1.2,2.5,,,,,
12/1/14,5.4,2.8,1.3,2.6,,,,,
1/1/15,5.7,2.9,1.4,2.6,,,,,
2/1/15,5.7,2.9,1.5,2.7,,,,,
3/1/15,6.2,2.9,1.6,2.7,,,,,
